Drug Name	Drug Indications	Disease Name	Disease Gene Names	Disease Gene Entrez Gene IDs
Bexarotene	For the treatment of cutaneous manifestations of cutaneous T-cell lymphoma in patients who are refractory to at least one prior systemic therapy	Lymphoma	RAP1GDS1;ATM;BCL8;BCL10;RAD54B;RAD54L;FCGR2B;MAD1L1;MSH2;SH2D1A	5910;472;606;8915;25788;8438;2213;8379;4436;4068
Bexarotene	For the treatment of cutaneous manifestations of cutaneous T-cell lymphoma in patients who are refractory to at least one prior systemic therapy	Stem-cell leukemia/lymphoma syndrome	ZNF198	7750
Bimatoprost	For the reduction of elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension who are intolerant of other intraocular pressure lowering medications or insufficiently responsive (failed to achieve target IOP determined after multiple measurements over time) to another intraocular pressure lowering medication.	Glaucoma	MYOC;OPTN;CYP1B1;OPA1	4653;10133;1545;4976
Bimatoprost	For the reduction of elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension who are intolerant of other intraocular pressure lowering medications or insufficiently responsive (failed to achieve target IOP determined after multiple measurements over time) to another intraocular pressure lowering medication.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Biperiden	For use as an adjunct in the therapy of all forms of parkinsonism and control of extrapyramidal disorders secondary to neuroleptic drug therapy.	Parkinson disease	NR4A2;SNCAIP;TBP;SNCA;PARK7;LRRK2;PINK1;UCHL1;PARK2;DBH;NDUFV2	4929;9627;6908;6622;11315;120892;65018;7345;5071;1621;4729
Bisoprolol	For the management of hypertension and prophylaxis treatment of angina pectoris and heart failure.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Bitolterol Mesylate	Used to dilate air passages in the lungs that have become narrowed as a result of disease or inflammation. It is used in the treatment of asthma and chronic obstructive pulmonary disease (COPD).	Asthma	PHF11;MS4A2;ALOX5;ADRB2;PTGDR;GPR154;HNMT;IL12B;IL13;PLA2G7;SCGB3A2;TNF;SCGB1A1	51131;2206;240;154;5729;387129;3176;3593;3596;7941;117156;7124;7356
Bitolterol Mesylate	Used to dilate air passages in the lungs that have become narrowed as a result of disease or inflammation. It is used in the treatment of asthma and chronic obstructive pulmonary disease (COPD).	COPD, rate of decline of lung function in	MMP1	4312
Bitolterol Mesylate	Used to dilate air passages in the lungs that have become narrowed as a result of disease or inflammation. It is used in the treatment of asthma and chronic obstructive pulmonary disease (COPD).	Pulmonary disease		
Bivalirudin	For treatment of heparin-induced thrombocytopenia	Thrombocytopenia	MASTL;MPL;WAS;F5	84930;4352;7454;2153
Bleomycin	For palliative treatment in the management malignant neoplasm (trachea, bronchus, lung), squamous cell carcinoma, and lymphomas.	Lymphoma	RAP1GDS1;ATM;BCL8;BCL10;RAD54B;RAD54L;FCGR2B;MAD1L1;MSH2;SH2D1A	5910;472;606;8915;25788;8438;2213;8379;4436;4068
Bleomycin	For palliative treatment in the management malignant neoplasm (trachea, bronchus, lung), squamous cell carcinoma, and lymphomas.	Squamous cell carcinoma	FAS;ING1;TNFRSF10B	355;3621;8795
Bortezomib	For treatment of multiple myeloma in patients who have not been successfully treated with at least two previous therapies.	Multiple myeloma	IRF4;LIG4	3662;3981
Bosentan	Used in the treatment of pulmonary arterial hypertension (PAH), to improve exercise ability and to decrease the rate of clinical worsening (in patients with WHO Class III or IV symptoms).	DECR deficiency		
Bosentan	Used in the treatment of pulmonary arterial hypertension (PAH), to improve exercise ability and to decrease the rate of clinical worsening (in patients with WHO Class III or IV symptoms).	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Bosentan	Used in the treatment of pulmonary arterial hypertension (PAH), to improve exercise ability and to decrease the rate of clinical worsening (in patients with WHO Class III or IV symptoms).	Pulmonary disease		
Bosentan	Used in the treatment of pulmonary arterial hypertension (PAH), to improve exercise ability and to decrease the rate of clinical worsening (in patients with WHO Class III or IV symptoms).	Pulmonary hypertension, familial primary	BMPR2	659
Botulinum Toxin	For treatment of cervical dystonia, axillary hyperhidrosis, strabismus, facial wrinkles	Dystonia	ATP1A3;TOR1A;GCH1;DRD2;SGCE;DRD5	478;1861;2643;1813;8910;1816
Botulinum Toxin	For treatment of cervical dystonia, axillary hyperhidrosis, strabismus, facial wrinkles	Strabismus		
Botulinum toxin type B	For treatment of cervical dystonia, axillary hyperhidrosis, strabismus, facial wrinkles	Dystonia	ATP1A3;TOR1A;GCH1;DRD2;SGCE;DRD5	478;1861;2643;1813;8910;1816
Botulinum toxin type B	For treatment of cervical dystonia, axillary hyperhidrosis, strabismus, facial wrinkles	Strabismus		
Bretylium	For use in the prophylaxis and therapy of ventricular fibrillation. Also used in the treatment of life-threatening ventricular arrhythmias, such as ventricular tachycardia, that have failed to respond to adequate doses of a first-line antiarrhythmic agent, such as lidocaine.	Ventricular fibrillation, idiopathic	SCN5A	6331
Bretylium	For use in the prophylaxis and therapy of ventricular fibrillation. Also used in the treatment of life-threatening ventricular arrhythmias, such as ventricular tachycardia, that have failed to respond to adequate doses of a first-line antiarrhythmic agent, such as lidocaine.	Ventricular tachycardia	GNAI2;CASQ2;RYR2	2771;845;6262
Brimonidine	For the lowering of intraocular pressure in patients with open-angle glaucoma or ocular hypertension.	Glaucoma	MYOC;OPTN;CYP1B1;OPA1	4653;10133;1545;4976
Brimonidine	For the lowering of intraocular pressure in patients with open-angle glaucoma or ocular hypertension.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Brinzolamide	For the treatment of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma.	Glaucoma	MYOC;OPTN;CYP1B1;OPA1	4653;10133;1545;4976
Brinzolamide	For the treatment of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma.	Hypertension	KCNMB1;NR3C2;AGTR1;PTGIS;ADD1;AGT;ECE1;GNB3;RETN;HSD11B2;NOS3;CYP3A5	3779;4306;185;5740;118;183;1889;2784;56729;3291;4846;1577
Bromfenac	For the treatment of postoperative inflammation in patients who have undergone cataract extraction.	Cataract	CRYAA;CRYBB2;PITX3;BFSP2;PAX6;CRYBA1;CRYGC;LIM2;CRYGD;HSF4;MIP;CRYAB;CRYBB1;GJA8;GJA3	1409;1415;5309;8419;5080;1411;1420;3982;1421;3299;4284;1410;1414;2703;2700
Bromfenac	For the treatment of postoperative inflammation in patients who have undergone cataract extraction.	Anterior segment anomalies and cataract	EYA1;FOXE3;FOXC1;PITX3	2138;2301;2296;5309
Bromocriptine	For treatment of idiopathic or postencephalitic Parkinson's disease, dysfunctions associated with hyperprolactinemia and in the treatment of acromegaly.	Acromegaly	GNAS;SSTR5	2778;6755
Bromocriptine	For treatment of idiopathic or postencephalitic Parkinson's disease, dysfunctions associated with hyperprolactinemia and in the treatment of acromegaly.	Parkinson disease	NR4A2;SNCAIP;TBP;SNCA;PARK7;LRRK2;PINK1;UCHL1;PARK2;DBH;NDUFV2	4929;9627;6908;6622;11315;120892;65018;7345;5071;1621;4729
Brompheniramine	For the treatment of the symptoms of the common cold and allergic rhinitis, such as runny nose, itchy eyes, watery eyes, and sneezing.	Allergic rhinitis	IL13	3596
Budesonide	For the treatment of mild to moderate active Crohn's disease.	Crohn disease	CARD15;DLG5	64127;9231
Bumetanide	For the treatment of edema associated with congestive heart failure, hepatic and renal disease including the nephrotic syndrome.	Congestive heart failure	ADRA2C;ADRB1	152;153
Bumetanide	For the treatment of edema associated with congestive heart failure, hepatic and renal disease including the nephrotic syndrome.	Hepatic failure, early onset, and neurologic disorder	SCO1	6341
Bumetanide	For the treatment of edema associated with congestive heart failure, hepatic and renal disease including the nephrotic syndrome.	Nephrotic syndrome	NPHS1;NPHS2	4868;7827
Busulfan	For use in combination with cyclophosphamide as a conditioning regimen prior to allogeneic hematopoietic progenitor cell transplantation for chronic myelogenous leukemia.	Leukemia	TAL1;TAL2;FLT3;NBN;ZNFN1A1;HOXD4;BCR;ARNT;KRAS;GMPS;MLLT10;ARHGEF12;PICALM;CEBPA;CHIC2;KIT;LPP;NPM1;NUP214;RUNX1;WHSC1L1;MLLT11;NUMA1;ZBTB16;PML;STAT5B;ARL11;P2RX7;ARHGAP26;NF1;PTPN11;BCL2;CCND1;TRA@;GATA1;ABL1;NQO1	6886;6887;2322;4683;10320;3233;613;405;3845;8833;8028;23365;8301;1050;26511;3815;4026;4869;8021;861;54904;10962;4926;7704;5371;6777;115761;5027;23092;4763;5781;596;595;6955;2623;25;1728
Busulfan	For use in combination with cyclophosphamide as a conditioning regimen prior to allogeneic hematopoietic progenitor cell transplantation for chronic myelogenous leukemia.	Myelogenous leukemia	ACSL6;IRF1;CBFB;CSF1R	23305;3659;865;1436
Butabarbital	For short-term treatment of insomnia and anxiety disorders	Insomnia	GABRB3;PRNP	2562;5621
Butalbital	Used in combination with acetaminophen or aspirin and caffeine for its sedative and relaxant effects in the treatment of tension headaches, migraines, and pain.	Migraine	ATP1A2;EDNRA;ESR1;TNF	477;1909;2099;7124
Butoconazole	For the local treatment of vulvovaginal candidiasis (infections caused by Candida)	Candidiasis		
Cabergoline	For the treatment of hyperprolactinemic disorders, either idiopathic or due to pituitary adenomas.	Adenoma, periampullary	APC	324
Cabergoline	For the treatment of hyperprolactinemic disorders, either idiopathic or due to pituitary adenomas.	Adenomas	MUTYH;PLAG1;APC	4595;5324;324
Caffeine	For management of fatigue, orthostatic hypotension, and for the short term treatment of apnea of prematurity in infants.	Apnea, postanesthetic	BCHE	590
Calcidiol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Hypocalcemia	CASR	846
Calcidiol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Hypoparathyroidism	GATA3	2625
Calcidiol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Hypophosphatemia	CLCN5;PHEX	1184;5251
Calcidiol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Osteoporosis	PDLIM4	8572
Calcidiol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Rickets	CYP2R1;VDR	120227;7421
Calcidiol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Hypocalcemia	CASR	846
Calcidiol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Hypoparathyroidism	GATA3	2625
Calcidiol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Hypophosphatemia	CLCN5;PHEX	1184;5251
Calcidiol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Osteoporosis	PDLIM4	8572
Calcidiol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Rickets	CYP2R1;VDR	120227;7421
Calcitonin, salmon	For the treatment of post-menopausal osteoporosis	Osteoporosis	PDLIM4	8572
Calcitriol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Hypocalcemia	CASR	846
Calcitriol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Hypoparathyroidism	GATA3	2625
Calcitriol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Hypophosphatemia	CLCN5;PHEX	1184;5251
Calcitriol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Osteoporosis	PDLIM4	8572
Calcitriol	Used to treat vitamin D deficiency or insufficiency, refractory rickets (vitamin D resistant rickets), familial hypophosphatemia and hypoparathyroidism, and in the management of hypocalcemia and renal osteodystrophy in patients with chronic renal failure undergoing dialysis. Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.	Rickets	CYP2R1;VDR	120227;7421
